,time,Inv C: Rep G,Inv C : Rep T,Inv C : Rep C,Inv C : Rep A,Inv isoC : Rep G,Inv isoC: Rep T,Inv isoC: Rep C,Inv isoC: Rep A,Inv isoC : Rep isoG
731,43950,19.4408867,1.651067323,1.085385878,1.446633826,5.753694581,1.716748768,1.972085386,5.205254516,19.61309162
732,44010,20.29474548,1.834975369,1.553366174,1.45320197,5.830049261,1.642857143,1.947454844,5.061576355,20.26909194
733,44070,19.80131363,1.935960591,1.58456486,1.738916256,6.385057471,1.743021346,1.86453202,5.243842365,20.73954658
734,44130,20.02955665,2.000821018,1.194581281,1.304597701,6.384236453,1.475369458,2.086206897,5.075533662,20.36845521
735,44190,20.02791461,2.059934319,1.390804598,1.511494253,6.077175698,1.800492611,2.082101806,5.007389163,19.8827919
736,44250,19.37766831,1.562397373,1.125615764,1.47044335,6.21592775,1.60591133,2.051724138,5.042692939,20.23664679
737,44310,20.17898194,1.910509031,1.048440066,1.719211823,6.320197044,1.800492611,2.082922824,5.224137931,20.56515391
738,44370,20.01477833,1.80952381,1.333333333,1.694581281,6.100164204,1.560755337,2.063218391,5.242200328,19.65466196
739,44430,19.75205255,1.691297209,1.206075534,1.618226601,6.009031199,1.645320197,2.176518883,5.354679803,19.78038691
740,44490,20.34154351,1.677339901,1.380131363,1.451559934,6.05090312,1.421182266,1.899014778,5.24137931,19.90205621
741,44550,20.272578,1.949917898,1.193760263,1.543513957,6.253694581,1.547619048,1.871100164,5.275041051,20.52358357
742,44610,19.89326765,1.634646962,1.32183908,1.634646962,6.090311987,1.60180624,2.226600985,5.172413793,19.96491868
743,44670,20.40311987,1.807881773,1.200328407,1.4408867,6.401477833,1.4408867,2.02955665,5.481116585,20.16567303
744,44730,19.41871921,1.867816092,1.562397373,1.582101806,6.183908046,1.418719212,2.184729064,5.28407225,19.99939165
745,44790,19.58538588,1.753694581,1.632183908,1.380131363,6.239737274,1.728243021,1.982758621,5.572249589,20.77199173
746,44850,20.00738916,1.869458128,1.383415435,1.526272578,6.045155993,1.955665025,1.942528736,5.143678161,20.14945046
747,44910,19.29228243,1.706896552,1.254515599,1.687192118,6.416256158,1.624794745,2.016420361,5.126436782,20.70304579
748,44970,19.85960591,1.811986864,1.713464696,1.26272578,6.160098522,1.857142857,2.174055829,5.619047619,20.25388328
749,45030,19.87438424,1.71592775,1.260262726,1.579638752,6.405582923,1.50410509,1.833333333,5.091954023,20.20724338
750,45090,20.17898194,1.721674877,1.58456486,1.394909688,6.188834154,1.572249589,2.022167488,5.624794745,20.12004705
751,45150,19.60837438,1.566502463,1.096059113,1.620689655,6.23316913,1.61001642,2.281609195,5.510673235,19.85744413
752,45210,19.89655172,1.685550082,1.491789819,1.564039409,6.133004926,1.677339901,2.236453202,5.219211823,20.43233159
753,45270,19.78325123,1.701970443,1.489326765,1.592775041,6.102627258,1.483579639,2.18226601,5.281609195,19.95173784
754,45330,19.48932677,1.6272578,1.581280788,1.516420361,6.136288998,1.663382594,2.064860427,5.425287356,20.27213367
755,45390,19.99178982,1.94499179,1.236453202,1.44499179,6.261083744,1.516420361,2.246305419,5.344827586,20.22042422
756,45450,20.18801314,1.903940887,1.236453202,1.50410509,6.275041051,1.770114943,2.091133005,5.348932677,20.50634708
757,45510,19.9729064,2.221674877,1.31773399,1.463054187,6.100985222,1.490147783,1.802134647,5.120689655,20.12815833
758,45570,19.52380952,2.155993432,1.310344828,1.754515599,6.014778325,1.78407225,2.120689655,5.387520525,19.78545646
759,45630,20.17569787,2.045977011,1.337438424,1.270935961,6.342364532,1.549261084,2.027093596,4.993431856,20.32891268
760,45690,19.89244663,1.825944171,1.332512315,1.633825944,6.08456486,1.687192118,1.89408867,5.013957307,20.040962
761,45750,19.82019704,1.488505747,1.509031199,1.448275862,6.128899836,1.723316913,1.658456486,4.967980296,19.93450136
762,45810,19.97783251,1.713464696,1.602627258,1.424466338,6.287356322,1.278325123,2.223316913,5.261083744,19.99026646
763,45870,19.52380952,1.647783251,1.437602627,1.665845649,6.232348112,1.617405583,1.68226601,5.548440066,20.08456017
764,45930,19.69376026,2.022167488,1.336617406,1.642857143,6.380952381,1.650246305,1.84318555,5.235632184,20.02676725
765,45990,19.82348112,1.563218391,1.740558292,1.371921182,6.483579639,1.597701149,2.269293924,5.3136289,19.17508213
766,46050,19.93596059,1.802955665,1.417077176,1.793103448,6.284893268,1.655172414,2.02134647,5.176518883,20.13322789
767,46110,20.1954023,1.929392447,1.471264368,1.567323481,6.07635468,1.688834154,2.066502463,5.311986864,20.68479539
768,46170,19.81855501,2.02955665,1.253694581,1.24137931,6.183087028,1.678981938,2.039408867,5.561576355,19.94261265
769,46230,19.92692939,1.991789819,1.270935961,1.486863711,6.331691297,1.434318555,2.195402299,5.240558292,20.25185546
770,46290,20.08456486,1.706075534,1.304597701,1.596059113,6.26683087,1.357142857,2.15270936,5.022167488,20.39785862
771,46350,20.09195402,1.933497537,1.482758621,1.532840722,6.137931034,1.537766831,1.894909688,5.344827586,20.20521556
772,46410,20.09934319,1.779146141,1.552545156,1.249589491,6.404761905,1.448275862,2.128899836,5.215106732,20.24577199
773,46470,19.85057471,1.972906404,1.358784893,1.338259442,6.357963875,1.279967159,1.856321839,5.431855501,19.87062497
774,46530,19.25944171,1.788998358,1.738095238,1.248768473,6.308702791,1.603448276,2.055829228,5.52545156,20.24374417
775,46590,19.87438424,1.960591133,1.247947455,1.370279146,6.106732348,1.58045977,1.716748768,5.142857143,19.91118141
776,46650,20.35303777,1.600985222,1.426108374,1.449917898,6.082101806,1.958949097,2.170771757,4.9408867,19.69826013
