,time,Inv C: Rep G,Inv T: Rep G,Inv G: Rep G,Inv A: Rep G,Inv C: Rep isoG,Inv T: Rep isoG,Inv G: Rep isoG,Inv A: Rep isoG
502,45180,20.13572955,2.175024088,1.212349713,0.8897825814,8.152151146,5.651208579,5.399019731,0.6677558544
503,45270,19.8265678,2.039294541,1.022998618,0.7423233212,8.417745381,5.777721922,5.670478824,0.6241883457
504,45360,19.84667588,2.123916049,1.090025554,0.7649449122,7.949394663,5.356290059,5.750911147,0.5353776549
505,45450,19.95391898,2.162456537,0.9551338444,0.8487285828,7.795232709,5.757613841,5.913451468,0.7557287085
506,45540,20.3309455,2.464077751,1.310376608,0.4901344728,8.512420929,5.52888442,5.829667798,0.5144317373
507,45630,19.41770349,2.01164593,1.204809183,0.4934858196,7.719827406,5.719073353,5.211344309,0.7021071593
508,45720,20.24632399,2.609861338,1.236646978,0.7222152402,7.625989695,5.923505509,5.407398098,0.5647019396
509,45810,20.00502702,2.098780948,1.039755352,0.8143772779,8.01893511,5.701478782,5.724100373,0.4289723933
510,45900,20.17762138,2.08537556,1.388295421,0.6451342633,8.02647564,5.833019145,5.777721922,0.5404046751
511,45990,20.22286456,2.055213439,1.446943991,1.003728373,8.041556701,5.161074107,5.489506095,0.5638641029
512,46080,19.89443258,2.363537347,1.318754975,0.9995391898,7.992124335,5.628586988,5.44007373,0.6124586318
513,46170,19.94218927,2.032591848,1.192241632,0.9350257635,8.178124084,5.705667965,5.738343597,0.6099451217
514,46260,20.24716183,2.22278078,1.349754933,0.7289179339,7.835448871,5.790289473,5.783586779,0.5672154497
515,46350,20.24213481,1.946294667,1.101755268,0.6250261824,8.251853714,5.780235432,5.720749026,0.4541074944
516,46440,19.6280005,2.047672909,1.335511709,0.9517824976,7.839638055,5.648695069,5.683046374,0.7791881362
517,46530,19.87097315,2.157429517,1.336349545,0.7439989946,8.297096896,5.425830506,5.691424741,0.5755938168
518,46620,20.41724268,2.201834862,0.9718905785,0.888106908,7.988772988,5.202965942,5.433371036,0.6719450379
519,46710,19.83159482,2.153240333,1.190565959,1.038917515,7.95777303,5.831343471,5.200452432,0.6861882619
520,46800,20.49181015,2.181726781,1.250052365,0.7590800553,8.055799925,5.383100834,5.819613757,0.85962046
521,46890,19.76791923,2.211051066,1.276863139,0.8261069917,8.297934733,5.445938587,5.44510075,0.8956474383
522,46980,20.01172971,2.093753927,0.9559716811,0.8470529094,8.192367308,5.672154497,5.573289766,0.674458548
523,47070,19.59783838,2.552888442,1.306187424,0.7155125466,8.327259017,5.738343597,5.380587324,0.8872690713
524,47160,19.58946001,1.963889238,1.311214444,0.4817561057,8.389258933,5.483641238,5.404884588,0.5621884295
